"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct","ci_lo_pct","ci_hi_pct","stars"
"exclusive","competitor","互斥 直接竞争者","controls_intelligence","mkt_car_20","z_intelligence",-0.000153647253383714,0.00583000900117654,0.979088549283218,-0.0118888467135126,0.0115815522067452,233,47,0.325957663755512,-0.0153647253383714,0.583000900117654,-1.18888467135126,1.15815522067452,""
"exclusive","downstream_deployer","互斥 下游部署者","controls_intelligence","mkt_car_20","z_intelligence",0.00672505285148403,0.00488256220664309,0.175065918492672,-0.00310303512571819,0.0165531408286862,745,47,0.254152232652754,0.672505285148403,0.488256220664309,-0.310303512571819,1.65531408286862,""
"exclusive","downstream_enabler","互斥 下游赋能者","controls_intelligence","mkt_car_20","z_intelligence",0.00842233626954741,0.0102079365411227,0.41358607265687,-0.0121251742681273,0.0289698468072221,278,47,0.302418926663805,0.842233626954741,1.02079365411227,-1.21251742681273,2.89698468072221,""
"exclusive","downstream_integrator","互斥 下游集成者","controls_intelligence","mkt_car_20","z_intelligence",0.02487634563684,0.00967225319303327,0.0134089769661583,0.00540710975294892,0.044345581520731,1303,47,0.33441572865433,2.487634563684,0.967225319303327,0.540710975294892,4.4345581520731,"**"
"exclusive","other_or_no_flag","互斥 其他或无关系旗标","controls_intelligence","mkt_car_20","z_intelligence",0.167322232884366,0.159138919565002,0.298556860861501,-0.15300779792482,0.487652263693552,51,47,0.520659892211709,16.7322232884366,15.9138919565002,-15.300779792482,48.7652263693552,""
"exclusive","upstream_cloud","互斥 云服务方","controls_intelligence","mkt_car_20","z_intelligence",0.0093860668374587,0.00799797905136863,0.246614073426599,-0.00671302999529101,0.0254851636702084,186,47,0.536510498312524,0.93860668374587,0.799797905136863,-0.671302999529101,2.54851636702084,""
"exclusive","upstream_hardware","互斥 硬件上游","controls_intelligence","mkt_car_20","z_intelligence",0.0145826449815074,0.00739836871360695,0.0547505186795772,-0.00030949884129527,0.02947478880431,907,47,0.252717616987078,1.45826449815074,0.739836871360695,-0.030949884129527,2.947478880431,"*"
"exclusive","is_investor","互斥 主要投资者","controls_intelligence","mkt_car_20","z_intelligence",0.0113708142004169,0.0174312343458194,0.521269174456702,-0.0248794220758417,0.0476210504766756,38,22,0.54146018088186,1.13708142004169,1.74312343458194,-2.48794220758417,4.76210504766756,""
"exclusive","is_owner","互斥 发布方或所有者","controls_intelligence","mkt_car_20","z_intelligence",-0.000466047129931817,0.0266799080070941,0.986236275988808,-0.056119360009146,0.0551872657492823,21,21,0.60218300456035,-0.0466047129931817,2.66799080070941,-5.6119360009146,5.51872657492823,""
"exclusive","competitor","互斥 直接竞争者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.00372104269983557,0.00600284549678246,0.538395615065217,-0.0158041439813023,0.00836205858163116,233,47,0.00169949554108662,-0.372104269983557,0.600284549678246,-1.58041439813023,0.836205858163116,""
"exclusive","downstream_deployer","互斥 下游部署者","no_controls_intelligence","mkt_car_20","z_intelligence",0.0044089991264045,0.00453974019995721,0.336527650470349,-0.00472902394232697,0.013547022195136,745,47,0.00114181287427018,0.44089991264045,0.453974019995721,-0.472902394232697,1.3547022195136,""
"exclusive","downstream_enabler","互斥 下游赋能者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.0057223011359886,0.014342560073268,0.691758937044594,-0.0345923771847074,0.0231477749127302,278,47,0.00218815142116346,-0.57223011359886,1.4342560073268,-3.45923771847074,2.31477749127302,""
