name_exact_status,time_match_status,strict_status,strict_reason,entity_id,event_id,ai_model_name,ai_year_month,ai_year,ai_month,aa_name,aa_creator,aa_modality,aa_release_date,aa_url,canonical_name,exact_name_candidate_count,same_month_candidate_count,same_month_candidates,all_exact_name_candidates,event_text
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2022-02-001-E01,AIT-2022-02-001,Midjourney v1,2022-02,2022,February,Midjourney V1,Midjourney,image-to-video,2025-06,https://artificialanalysis.ai/models/midjourney-v1,midjourneyv1,1,0,,Midjourney V1 | 2025-06 | Midjourney | image-to-video,Midjourney v1
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2022-04-002-E01,AIT-2022-04-002,DALL-E 2,2022-04,2022,April,DALLE 2,OpenAI,text-to-image,2022-09,https://artificialanalysis.ai/models/dalle-2,dalle2,1,0,,DALLE 2 | 2022-09 | OpenAI | text-to-image,DALL-E 2 is announced for gradual release.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2022-10-001-E01,AIT-2022-10-001,Stable Diffusion 1.5,2022-10,2022,October,Stable Diffusion 1.5,Stability.ai,text-to-image,2022-10,https://artificialanalysis.ai/models/stable-diffusion-1-5,stablediffusion15,1,1,Stable Diffusion 1.5 | 2022-10 | Stability.ai | text-to-image,Stable Diffusion 1.5 | 2022-10 | Stability.ai | text-to-image,Stable Diffusion 1.5 becomes available.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2022-12-001-E01,AIT-2022-12-001,Stable Diffusion 2.1,2022-12,2022,December,Stable Diffusion 2.1,Stability.ai,text-to-image,2022-12,https://artificialanalysis.ai/models/stable-diffusion-2-1,stablediffusion21,1,1,Stable Diffusion 2.1 | 2022-12 | Stability.ai | text-to-image,Stable Diffusion 2.1 | 2022-12 | Stability.ai | text-to-image,Stable Diffusion 2.1 is released.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-03-002-E01,AIT-2023-03-002,GPT-4,2023-03,2023,March,GPT-4,OpenAI,language,2023-03-14,https://artificialanalysis.ai/models/gpt-4,gpt4,1,1,GPT-4 | 2023-03-14 | OpenAI | language,GPT-4 | 2023-03-14 | OpenAI | language,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-05-002-E01,AIT-2023-05-002,PaLM 2,2023-05,2023,May,PALM-2,Google,language,2023-05-10,https://artificialanalysis.ai/models/palm-2,palm2,1,1,PALM-2 | 2023-05-10 | Google | language,PALM-2 | 2023-05-10 | Google | language,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-07-001-E01,AIT-2023-07-001,Stable Diffusion XL 1.0,2023-07,2023,July,Stable Diffusion XL 1.0,Stability.ai,text-to-image,2023-07,https://artificialanalysis.ai/models/stable-diffusion-xl-1-0,stablediffusionxl10,1,1,Stable Diffusion XL 1.0 | 2023-07 | Stability.ai | text-to-image,Stable Diffusion XL 1.0 | 2023-07 | Stability.ai | text-to-image,Stable Diffusion XL 1.0 is released.
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2023-10-001-E01,AIT-2023-10-001,DALL-E 3,2023-10,2023,October,DALLE 3,OpenAI,text-to-image,2023-09,https://artificialanalysis.ai/models/dalle-3,dalle3,1,0,,DALLE 3 | 2023-09 | OpenAI | text-to-image,DALL-E 3 is released.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-12-001-E01,AIT-2023-12-001,Midjourney v6,2023-12,2023,December,Midjourney v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,midjourneyv6,1,1,Midjourney v6 | 2023-12 | Midjourney | text-to-image,Midjourney v6 | 2023-12 | Midjourney | text-to-image,Midjourney v6 is launched.
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2024-02-004-E01,AIT-2024-02-004,Sora,2024-02,2024,February,Sora,OpenAI,image-to-video,2024-12,https://artificialanalysis.ai/models/sora,sora,2,0,,Sora | 2024-12 | OpenAI | text-to-video; Sora | 2024-12 | OpenAI | image-to-video,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.
