"company_id","creator","upstream_hardware","upstream_cloud","downstream_integrator","downstream_deployer","downstream_enabler","competitor","is_investor","is_owner","confidence","justification"
"AAPL","Alibaba","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Amazon","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Anthropic","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Black Forest Labs","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","ByteDance Seed","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","DeepSeek","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","ElevenLabs","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Google","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Kimi","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","KlingAI","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Kyutai","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Meta","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Microsoft","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Midjourney","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","MiniMax","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Mistral","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","OpenAI","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Recraft","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Runway","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Stability.ai","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Suno","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
"AAPL","Udio","0","0","0","1","0","1","0","0","M","R6:Apple Intelligence and Apple foundation models compete in consumer AI; R4:Apple Intelligence and on-device AI augment a hardware and services business"
